FileName_DAPI,PathName_DAPI,FileName_Tubulin,PathName_Tubulin,FileName_Actin,PathName_Actin,Metadata_Plate,Metadata_Well,Metadata_Site,Metadata_Col,Metadata_Row
Week8_4sites_B02_s1_w145BB7DE3-C25B-441B-AEFD-70122119108D.tif,PARENT_FOLDER/MorphologyAssay/Week8/Week8_38241,Week8_4sites_B02_s1_w2064C7084-D8CD-490B-9597-A0ED77D69B83.tif,PARENT_FOLDER/MorphologyAssay/Week8/Week8_38241,Week8_4sites_B02_s1_w4D991B897-EAE3-4080-9B7F-5099A97FBC58.tif,PARENT_FOLDER/MorphologyAssay/Week8/Week8_38241,Week8_38241,B02,1,2,1
Week8_4sites_B02_s2_w13F589755-8367-424F-A0AF-BD7738B63F2D.tif,PARENT_FOLDER/MorphologyAssay/Week8/Week8_38241,Week8_4sites_B02_s2_w20EADC780-36EC-4CC3-AF8C-2F9B5B141544.tif,PARENT_FOLDER/MorphologyAssay/Week8/Week8_38241,Week8_4sites_B02_s2_w4B0063F01-34FC-495B-94EA-C7BF7A17F78E.tif,PARENT_FOLDER/MorphologyAssay/Week8/Week8_38241,Week8_38241,B02,2,2,1
Week8_4sites_B02_s3_w1E7EFE50F-C52E-4945-A96C-BD151AE6EA16.tif,PARENT_FOLDER/MorphologyAssay/Week8/Week8_38241,Week8_4sites_B02_s3_w29AF279F5-4AF1-4674-8AC6-847DCB37A3AD.tif,PARENT_FOLDER/MorphologyAssay/Week8/Week8_38241,Week8_4sites_B02_s3_w48BEE615E-72BB-43ED-8E67-AEE15EC81E16.tif,PARENT_FOLDER/MorphologyAssay/Week8/Week8_38241,Week8_38241,B02,3,2,1
Week8_4sites_B02_s4_w1BAADAFC1-CE04-4F58-85F7-1D554A4DD971.tif,PARENT_FOLDER/MorphologyAssay/Week8/Week8_38241,Week8_4sites_B02_s4_w2BB892AAC-7764-45D9-BC76-700CBBF571BA.tif,PARENT_FOLDER/MorphologyAssay/Week8/Week8_38241,Week8_4sites_B02_s4_w43694A1FF-CAA0-40A1-8138-4262C476D588.tif,PARENT_FOLDER/MorphologyAssay/Week8/Week8_38241,Week8_38241,B02,4,2,1
Week8_4sites_B11_s1_w1C3189065-3CDF-436E-9329-746E47A091D7.tif,PARENT_FOLDER/MorphologyAssay/Week8/Week8_38241,Week8_4sites_B11_s1_w2CE2112B3-E097-498E-8589-B240DF5EF832.tif,PARENT_FOLDER/MorphologyAssay/Week8/Week8_38241,Week8_4sites_B11_s1_w4A0F8B587-095C-46F8-AC03-9312AE45884C.tif,PARENT_FOLDER/MorphologyAssay/Week8/Week8_38241,Week8_38241,B11,1,11,1
Week8_4sites_B11_s2_w1C8870826-B1F2-4025-A462-BC39D939ACE1.tif,PARENT_FOLDER/MorphologyAssay/Week8/Week8_38241,Week8_4sites_B11_s2_w2E6A5F1AB-B008-4474-98CC-7C8687D3C6C2.tif,PARENT_FOLDER/MorphologyAssay/Week8/Week8_38241,Week8_4sites_B11_s2_w45E9AE382-8E36-41FB-A076-9E881719E4C4.tif,PARENT_FOLDER/MorphologyAssay/Week8/Week8_38241,Week8_38241,B11,2,11,1
Week8_4sites_B11_s3_w1A49C0E3E-E768-4973-ACD5-5058AB26C2FF.tif,PARENT_FOLDER/MorphologyAssay/Week8/Week8_38241,Week8_4sites_B11_s3_w29DBAAEE5-8907-4148-96A5-9BD09833DC37.tif,PARENT_FOLDER/MorphologyAssay/Week8/Week8_38241,Week8_4sites_B11_s3_w4497515C7-82D4-4097-9944-219DE4D72FCE.tif,PARENT_FOLDER/MorphologyAssay/Week8/Week8_38241,Week8_38241,B11,3,11,1
Week8_4sites_B11_s4_w1B7295B76-5285-48E6-B972-F5E89D2530CC.tif,PARENT_FOLDER/MorphologyAssay/Week8/Week8_38241,Week8_4sites_B11_s4_w23385A60A-DED6-4A6C-8263-9BE90D2FAF06.tif,PARENT_FOLDER/MorphologyAssay/Week8/Week8_38241,Week8_4sites_B11_s4_w4AF00DBB9-10A1-4861-B90F-294E35B3D196.tif,PARENT_FOLDER/MorphologyAssay/Week8/Week8_38241,Week8_38241,B11,4,11,1
Week8_4sites_C02_s1_w106FDEF4A-C54A-46B5-ABC7-5AB2CF1B97ED.tif,PARENT_FOLDER/MorphologyAssay/Week8/Week8_38241,Week8_4sites_C02_s1_w28C68A3DC-E3EE-4CB3-8D36-21B3ECB800A7.tif,PARENT_FOLDER/MorphologyAssay/Week8/Week8_38241,Week8_4sites_C02_s1_w496D0BB8D-7C28-4D89-970D-995D5CEF8FA6.tif,PARENT_FOLDER/MorphologyAssay/Week8/Week8_38241,Week8_38241,C02,1,2,2
Week8_4sites_C02_s2_w179D2D3EB-E5DF-4239-8ECF-D7DF7B8CBC8D.tif,PARENT_FOLDER/MorphologyAssay/Week8/Week8_38241,Week8_4sites_C02_s2_w2E411F596-7AE9-48AD-B61B-BBBF98B38FB4.tif,PARENT_FOLDER/MorphologyAssay/Week8/Week8_38241,Week8_4sites_C02_s2_w41762A323-DD5F-4C0B-85F7-C60B5E2C8461.tif,PARENT_FOLDER/MorphologyAssay/Week8/Week8_38241,Week8_38241,C02,2,2,2
