FileName_DAPI,PathName_DAPI,FileName_Tubulin,PathName_Tubulin,FileName_Actin,PathName_Actin,Metadata_Plate,Metadata_Well,Metadata_Site,Metadata_Col,Metadata_Row
Week1_150607_B04_s3_w135D66B4C-0548-4AB8-A57B-9CC39666813B.tif,PARENT_FOLDER/MorphologyAssay/Week1/Week1_22123,Week1_150607_B04_s3_w2D81AEFB9-9DD4-4B59-9177-2093F0815C94.tif,PARENT_FOLDER/MorphologyAssay/Week1/Week1_22123,Week1_150607_B04_s3_w408BE006A-BF34-457E-81A9-FAB019FE8996.tif,PARENT_FOLDER/MorphologyAssay/Week1/Week1_22123,Week1_22123,B04,3,4,1
Week1_150607_B04_s4_w1EB720AD1-83BA-48A7-8C47-73A4F7EC5F1A.tif,PARENT_FOLDER/MorphologyAssay/Week1/Week1_22123,Week1_150607_B04_s4_w261B79A05-7534-46F3-8C80-D67A89A3A125.tif,PARENT_FOLDER/MorphologyAssay/Week1/Week1_22123,Week1_150607_B04_s4_w49FF7E7B1-F049-4994-BCA2-ABE5D4A3C761.tif,PARENT_FOLDER/MorphologyAssay/Week1/Week1_22123,Week1_22123,B04,4,4,1
Week1_150607_B04_s1_w11323931B-BDA7-4F42-870E-7174BFBF3643.tif,PARENT_FOLDER/MorphologyAssay/Week1/Week1_22123,Week1_150607_B04_s1_w2F8F7EA7A-EC57-49CA-A556-22AE0E990BF1.tif,PARENT_FOLDER/MorphologyAssay/Week1/Week1_22123,Week1_150607_B04_s1_w494DCA5C4-3531-497D-A8B0-D53AA25DB02B.tif,PARENT_FOLDER/MorphologyAssay/Week1/Week1_22123,Week1_22123,B04,1,4,1
Week1_150607_B04_s2_w1F649C703-6FA8-406F-8575-CBEAC160B4BD.tif,PARENT_FOLDER/MorphologyAssay/Week1/Week1_22123,Week1_150607_B04_s2_w2802CC81E-56F9-41C5-A6C2-E5A0F233ED3B.tif,PARENT_FOLDER/MorphologyAssay/Week1/Week1_22123,Week1_150607_B04_s2_w4342F300D-60F8-4256-A637-F1367E14BE5E.tif,PARENT_FOLDER/MorphologyAssay/Week1/Week1_22123,Week1_22123,B04,2,4,1
Week1_150607_B04_s3_w1B0B8AAC7-F2AD-4756-939C-6151431D5637.tif,PARENT_FOLDER/MorphologyAssay/Week1/Week1_22141,Week1_150607_B04_s3_w25C7FD77E-FDC4-471F-A512-6018D98F1D6A.tif,PARENT_FOLDER/MorphologyAssay/Week1/Week1_22141,Week1_150607_B04_s3_w42BD03411-D32F-4179-A6C5-C4D27E937A93.tif,PARENT_FOLDER/MorphologyAssay/Week1/Week1_22141,Week1_22141,B04,3,4,1
Week1_150607_B04_s4_w19547EEA6-60FB-443F-B66C-5E6955A0DC15.tif,PARENT_FOLDER/MorphologyAssay/Week1/Week1_22141,Week1_150607_B04_s4_w2C3310555-4138-4BB0-985E-55CB50A9DAAC.tif,PARENT_FOLDER/MorphologyAssay/Week1/Week1_22141,Week1_150607_B04_s4_w46B036C64-286F-4F3F-9F7B-916EA7F6692A.tif,PARENT_FOLDER/MorphologyAssay/Week1/Week1_22141,Week1_22141,B04,4,4,1
Week1_150607_B04_s1_w17D5A011C-EA14-4EA7-A62C-FC41C4AEA34A.tif,PARENT_FOLDER/MorphologyAssay/Week1/Week1_22141,Week1_150607_B04_s1_w20ED4F2D9-0D4A-4CA6-A13D-1BF715B6B3FB.tif,PARENT_FOLDER/MorphologyAssay/Week1/Week1_22141,Week1_150607_B04_s1_w413EE84DD-212B-4008-99A9-A397F82B348B.tif,PARENT_FOLDER/MorphologyAssay/Week1/Week1_22141,Week1_22141,B04,1,4,1
Week1_150607_B04_s2_w1659770A4-821C-453C-8EA4-A640F9CAA1AB.tif,PARENT_FOLDER/MorphologyAssay/Week1/Week1_22141,Week1_150607_B04_s2_w25F209DAD-AE89-427A-AB0B-811F4BE75226.tif,PARENT_FOLDER/MorphologyAssay/Week1/Week1_22141,Week1_150607_B04_s2_w43B325113-EC6A-49B2-B524-EDD3A25921C4.tif,PARENT_FOLDER/MorphologyAssay/Week1/Week1_22141,Week1_22141,B04,2,4,1
Week1_150607_B04_s3_w189C7A440-F993-4D81-B876-5BF52BD92250.tif,PARENT_FOLDER/MorphologyAssay/Week1/Week1_22161,Week1_150607_B04_s3_w2191A8E2F-1A0D-45D8-B490-3B9B416A01D0.tif,PARENT_FOLDER/MorphologyAssay/Week1/Week1_22161,Week1_150607_B04_s3_w473234E05-B421-4C51-AB7D-2D3416FABB32.tif,PARENT_FOLDER/MorphologyAssay/Week1/Week1_22161,Week1_22161,B04,3,4,1
Week1_150607_B04_s4_w18E7F5FAF-AA83-45BC-9B77-58B422ACF254.tif,PARENT_FOLDER/MorphologyAssay/Week1/Week1_22161,Week1_150607_B04_s4_w2DDBDDBE9-74D3-40C3-A629-6F59819F2D88.tif,PARENT_FOLDER/MorphologyAssay/Week1/Week1_22161,Week1_150607_B04_s4_w48BED3868-4E6E-4C37-ABD4-C1954397AB6E.tif,PARENT_FOLDER/MorphologyAssay/Week1/Week1_22161,Week1_22161,B04,4,4,1
Week1_150607_B04_s1_w1CA838496-DF71-40B2-B62F-23A995576638.tif,PARENT_FOLDER/MorphologyAssay/Week1/Week1_22161,Week1_150607_B04_s1_w206E48C71-130F-4079-B496-CB86537BAF1E.tif,PARENT_FOLDER/MorphologyAssay/Week1/Week1_22161,Week1_150607_B04_s1_w481193CDC-607C-46EE-A026-746058BAE10F.tif,PARENT_FOLDER/MorphologyAssay/Week1/Week1_22161,Week1_22161,B04,1,4,1
